Date,cost-per-transaction,fees-usd-per-transaction,hash-rate,mvrv,n-payments-per-block,n-transactions-per-block,n-unique-addresses,nvt,nvts,trade-volume
2022-03-05,137.25674959360114,1.9558814912238758,198075006.7035954,1.6810712378455968,5095.90243902439,1831.878048780488,594977.0,5.040859443843487,4.512908050382498,495957604.5125
2022-03-06,156.18155828387103,1.78337931973625,197313706.56355122,1.634615908452392,4244.847328244275,1581.0381679389313,555454.0,6.1192913365061505,4.397935830999187,118294086.9836
2022-03-07,140.29395568292895,1.6923979542464398,195932902.690025,1.5974884119265789,4369.581081081081,1725.9527027027027,648259.0,6.477239303400406,4.33152029097031,175544267.5295
2022-03-08,141.57288510298898,1.5994353864014006,194303170.37938315,1.591099934110856,4402.810810810811,1728.1824324324325,659214.0,5.523016497518206,4.348171738827005,296985143.40000004
2022-03-09,133.00467522050386,1.7216126272303736,191084575.56227246,1.6116808214085923,4977.811594202899,1976.8478260869565,702360.0,3.6804832075466787,4.426359453153972,279092850.64199996
2022-03-10,139.62169866886563,1.7674355071120613,191073306.1250448,1.6842428638732092,4723.4689655172415,1803.8137931034482,687025.0,2.3292257811223935,4.610482063264849,409676985.0096
2022-03-11,135.63515438289582,1.707578222373597,190169638.86888805,1.632231199359271,4835.268115942029,1828.8623188405797,659116.0,3.368479593433235,4.410576080096686,360028497.81
2022-03-12,170.70658455438513,1.3693125575611913,189973991.09227395,1.6173298095195492,3811.4294871794873,1443.2564102564102,592255.0,4.153954712443734,4.357443138786368,267911337.6576
2022-03-13,179.93501243774685,1.2686210681806074,196430367.72053868,1.6165657046352222,3702.1920529801323,1378.0927152317881,554544.0,5.346387115943045,4.34542752669318,116260660.526
2022-03-14,143.99373218996132,1.5414436085754752,200343323.25282034,1.6027568630042712,4204.614379084967,1696.6797385620914,658358.0,5.476968971813074,4.30667316255838,138991446.0656
2022-03-15,130.43491924766118,1.4571633463099523,201321562.13589075,1.6132408456986276,4801.625899280575,1893.36690647482,679170.0,4.597455467221372,4.383726528165427,240023981.33999997
2022-03-16,142.93025002002247,1.4974235563026448,199560732.146364,1.6297775866622204,4577.6,1783.1612903225807,721364.0,4.805098678841003,4.453727131601656,213584009.7006
2022-03-17,147.4778726199178,1.542907056295107,202886744.34880343,1.6880467590708277,4697.314465408805,1753.4591194968552,743399.0,4.663096655940584,4.569278912870295,652943632.6044
2022-03-18,141.43408331860388,1.6604875282007732,205592535.9552714,1.6854501985997599,4936.671328671328,1827.3986013986014,700248.0,4.793781052458456,4.6231744727257125,208715564.8872
2022-03-19,168.67031647759651,1.3888160351677725,206471636.31633186,1.7004575955110437,4144.245161290322,1564.0258064516129,638704.0,5.175598719745926,4.6599767815599975,246251063.8129
2022-03-20,191.63639462498764,1.2767561846652749,206168530.7011755,1.7256893898162193,3663.0974025974024,1367.1883116883116,572086.0,5.621453482308036,4.7266420711632176,117217182.5608
2022-03-21,152.78058243115785,1.5008529445889425,206648709.4688532,1.7147908907869434,4259.326797385621,1698.7712418300653,663684.0,6.57040067625213,4.6918271473146484,143098716.7617
2022-03-22,150.76950980201315,1.7350485133462785,206542638.18306637,1.7282842854888947,4449.845637583892,1775.6308724832215,681184.0,4.724776943767339,4.727494758585338,188238486.312
2022-03-23,146.804778613094,1.7330119358376224,208395817.76893112,1.7506329617611445,4553.455172413793,1821.9448275862069,671738.0,4.854005752465128,4.784066447668696,326642014.7693
2022-03-24,149.010699486914,1.877242561746211,206338814.92802498,1.7523803727629446,4662.748251748252,1839.06993006993,677148.0,5.422537931765472,4.789526456168891,227640947.79139996
2022-03-25,150.51114946157725,1.968806357517347,203142589.2463189,1.8084941246517099,4775.9807692307695,1863.5833333333333,752938.0,5.634116194010852,4.857399909761353,279553357.1948
2022-03-26,193.67139970476342,1.5779794588276865,205676997.749392,1.8229909188566935,3760.7391304347825,1434.975155279503,611979.0,4.855196465360416,4.999636022630202,294807777.4845
2022-03-27,171.22775427665565,1.5330401183397053,206846724.75081035,1.8269383200512335,4517.0687022900765,1665.6641221374045,589872.0,4.958486285601684,5.005657607094773,87655860.1288
2022-03-28,162.09415847722192,1.7460443296680463,202362771.2453734,1.8756781813591847,4416.591194968553,1844.6792452830189,720718.0,5.4484703483791925,5.139299763179255,215085807.13829997
2022-03-29,157.97930231103615,1.6502536735030737,203532498.2467917,1.9309800009462612,4629.417218543046,1900.2649006622516,706611.0,4.839677301707502,5.295887169635702,363200213.7945
2022-03-30,147.98264064698427,1.93400451305947,203922407.24726447,1.9351522249813022,4933.814814814815,2021.2148148148149,662686.0,4.336622802731804,5.301693623774759,222767932.4699
2022-03-31,147.09637617241398,2.763887606136267,201972862.24490055,1.924123852705078,5109.166666666667,2023.2608695652175,711182.0,4.83208072742467,5.2683797904412675,198230006.14560002
2022-04-01,144.1629969915852,3.1539757165759656,201843995.5470547,1.8951895806117163,5337.120567375887,2014.9290780141844,738464.0,4.895907199654574,5.184825569407523,217720733.859
2022-04-02,158.27582769610422,2.3657053311005916,200055608.693703,1.8761580450532254,4967.8,1884.7555555555555,660755.0,4.876872857369072,5.110878341271355,343182405.4464
2022-04-03,180.52172953649088,2.143880839134742,196074384.86327466,1.887411818226005,4324.525179856115,1622.7625899280577,585946.0,5.1419110654451465,5.1272767003246225,128666154.54
2022-04-04,167.23149755912206,2.098186429721459,198753839.02386785,1.8769379644065878,4422.930379746836,1741.1772151898733,691360.0,5.564711578337333,5.088767888981333,134898633.464
